Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Total/day,Total_Confirmed,Cured,Deaths,Active/Day,Confirmed_Active
38,3/3/2020,6:00 PM,Kerala,3,0,3,101,3,0,0,98
39,3/3/2020,6:00 PM,Delhi,1,0,1,102,0,0,1,99
40,4/3/2020,6:00 PM,Uttar Pradesh,6,0,6,108,0,0,6,105
41,4/3/2020,6:00 PM,Kerala,3,0,3,111,3,0,0,105
42,4/3/2020,6:00 PM,Haryana,0,2,2,113,0,0,2,107
43,4/3/2020,6:00 PM,Delhi,1,0,1,114,0,0,1,108
44,4/3/2020,6:00 PM,Telengana,1,0,1,115,0,0,1,109
45,4/3/2020,6:00 PM,Rajasthan,1,14,15,130,0,0,15,124
46,5/3/2020,6:00 PM,Delhi,2,0,2,132,0,0,2,126
47,5/3/2020,6:00 PM,Haryana,0,2,2,134,0,0,2,128
48,5/3/2020,6:00 PM,Kerala,3,0,3,137,3,0,0,128
49,5/3/2020,6:00 PM,Rajasthan,1,14,15,152,0,0,15,143
50,5/3/2020,6:00 PM,Telengana,1,0,1,153,0,0,1,144
51,5/3/2020,6:00 PM,Uttar Pradesh,7,0,7,160,0,0,7,151
52,6/3/2020,6:00 PM,Delhi,3,0,3,163,0,0,3,154
53,6/3/2020,6:00 PM,Haryana,0,2,2,165,0,0,2,156
54,6/3/2020,6:00 PM,Kerala,3,0,3,168,3,0,0,156
55,6/3/2020,6:00 PM,Rajasthan,1,14,15,183,0,0,15,171
56,6/3/2020,6:00 PM,Uttar Pradesh,7,0,7,190,0,0,7,178
57,6/3/2020,6:00 PM,Telengana,1,0,1,191,0,0,1,179
58,7/3/2020,6:00 PM,Kerala,3,0,3,194,3,0,0,179
59,7/3/2020,6:00 PM,Uttar Pradesh,7,0,7,201,0,0,7,186
60,7/3/2020,6:00 PM,Ladakh,2,0,2,203,0,0,2,188
61,7/3/2020,6:00 PM,Telengana,1,0,1,204,0,0,1,189
62,7/3/2020,6:00 PM,Tamil Nadu,1,0,1,205,0,0,1,190
63,7/3/2020,6:00 PM,Delhi,3,0,3,208,0,0,3,193
64,7/3/2020,6:00 PM,Haryana,0,2,2,210,0,0,2,195
65,7/3/2020,6:00 PM,Rajasthan,1,14,15,225,0,0,15,210
66,8/3/2020,6:00 PM,Ladakh,2,0,2,227,0,0,2,212
67,8/3/2020,6:00 PM,Telengana,1,0,1,228,0,0,1,213
68,8/3/2020,6:00 PM,Tamil Nadu,1,0,1,229,0,0,1,214
69,8/3/2020,6:00 PM,Rajasthan,1,14,15,244,0,0,15,229
70,8/3/2020,6:00 PM,Kerala,8,0,8,252,3,0,5,234
71,8/3/2020,6:00 PM,Haryana,0,2,2,254,0,0,2,236
72,8/3/2020,6:00 PM,Delhi,3,0,3,257,0,0,3,239
73,8/3/2020,6:00 PM,Uttar Pradesh,7,0,7,264,0,0,7,246
74,9/3/2020,6:00 PM,Ladakh,2,0,2,266,0,0,2,248
75,9/3/2020,6:00 PM,Karnataka,1,0,1,267,0,0,1,249
76,9/3/2020,6:00 PM,Kerala,9,0,9,276,3,0,6,255
77,9/3/2020,6:00 PM,Maharashtra,2,0,2,278,0,0,2,257
78,9/3/2020,6:00 PM,Punjab,1,0,1,279,0,0,1,258
79,9/3/2020,6:00 PM,Rajasthan,1,14,15,294,0,0,15,273
80,9/3/2020,6:00 PM,Tamil Nadu,1,0,1,295,0,0,1,274
81,9/3/2020,6:00 PM,Telengana,1,0,1,296,0,0,1,275
82,9/3/2020,6:00 PM,Jammu and Kashmir,1,0,1,297,0,0,1,276
83,9/3/2020,6:00 PM,Uttar Pradesh,7,0,7,304,0,0,7,283
84,9/3/2020,6:00 PM,Haryana,0,2,2,306,0,0,2,285
85,9/3/2020,6:00 PM,Delhi,4,0,4,310,0,0,4,289
86,10/3/2020,6:00 PM,Uttar Pradesh,7,0,7,317,0,0,7,296
87,10/3/2020,6:00 PM,Ladakh,2,0,2,319,0,0,2,298
88,10/3/2020,6:00 PM,Delhi,4,0,4,323,0,0,4,302
89,10/3/2020,6:00 PM,Haryana,0,2,2,325,0,0,2,304
90,10/3/2020,6:00 PM,Karnataka,4,0,4,329,0,0,4,308
91,10/3/2020,6:00 PM,Kerala,15,0,15,344,3,0,12,320
92,10/3/2020,6:00 PM,Maharashtra,5,0,5,349,0,0,5,325
93,10/3/2020,6:00 PM,Punjab,1,0,1,350,0,0,1,326
94,10/3/2020,6:00 PM,Rajasthan,1,14,15,365,0,0,15,341
95,10/3/2020,6:00 PM,Tamil Nadu,1,0,1,366,0,0,1,342
96,10/3/2020,6:00 PM,Telengana,1,0,1,367,0,0,1,343
97,10/3/2020,6:00 PM,Jammu and Kashmir,1,0,1,368,0,0,1,344
98,11/3/2020,6:00 PM,Maharashtra,2,0,2,370,0,0,2,346
99,11/3/2020,6:00 PM,Delhi,5,0,5,375,0,0,5,351
100,11/3/2020,6:00 PM,Haryana,0,14,14,389,0,0,14,365
101,11/3/2020,6:00 PM,Kerala,17,0,17,406,3,0,14,379
102,11/3/2020,6:00 PM,Rajasthan,1,2,3,409,0,0,3,382
103,11/3/2020,6:00 PM,Telengana,1,0,1,410,0,0,1,383
104,11/3/2020,6:00 PM,Uttar Pradesh,9,0,9,419,0,0,9,392
105,11/3/2020,6:00 PM,Ladakh,2,0,2,421,0,0,2,394
106,11/3/2020,6:00 PM,Tamil Nadu,1,0,1,422,0,0,1,395
107,11/3/2020,6:00 PM,Jammu and Kashmir,1,0,1,423,0,0,1,396
108,11/3/2020,6:00 PM,Punjab,1,0,1,424,0,0,1,397
109,11/3/2020,6:00 PM,Karnataka,4,0,4,428,0,0,4,401
110,12/3/2020,6:00 PM,Delhi,6,0,6,434,0,0,6,407
111,12/3/2020,6:00 PM,Haryana,0,14,14,448,0,0,14,421
112,12/3/2020,6:00 PM,Kerala,17,0,17,465,3,0,14,435
113,12/3/2020,6:00 PM,Rajasthan,1,2,3,468,0,0,3,438
114,12/3/2020,6:00 PM,Telengana,1,0,1,469,0,0,1,439
115,12/3/2020,6:00 PM,Uttar Pradesh,10,1,11,480,0,0,11,450
116,12/3/2020,6:00 PM,Ladakh,3,0,3,483,0,0,3,453
117,12/3/2020,6:00 PM,Tamil Nadu,1,0,1,484,0,0,1,454
118,12/3/2020,6:00 PM,Jammu and Kashmir,1,0,1,485,0,0,1,455
119,12/3/2020,6:00 PM,Punjab,1,0,1,486,0,0,1,456
120,12/3/2020,6:00 PM,Karnataka,4,0,4,490,0,0,4,460
121,12/3/2020,6:00 PM,Maharashtra,11,0,11,501,0,0,11,471
122,12/3/2020,6:00 PM,Andhra Pradesh,1,0,1,502,0,0,1,472
123,13/03/2020,6:00 PM,Delhi,6,0,6,508,0,0,6,478
124,13/03/2020,6:00 PM,Haryana,0,14,14,522,0,0,14,492
125,13/03/2020,6:00 PM,Kerala,19,0,19,541,3,0,16,508
126,13/03/2020,6:00 PM,Rajasthan,1,2,3,544,0,0,3,511
127,13/03/2020,6:00 PM,Telengana,1,0,1,545,0,0,1,512
128,13/03/2020,6:00 PM,Uttar Pradesh,10,1,11,556,0,0,11,523
129,13/03/2020,6:00 PM,Ladakh,3,0,3,559,0,0,3,526
130,13/03/2020,6:00 PM,Tamil Nadu,1,0,1,560,0,0,1,527
131,13/03/2020,6:00 PM,Jammu and Kashmir,1,0,1,561,0,0,1,528
132,13/03/2020,6:00 PM,Punjab,1,0,1,562,0,0,1,529
133,13/03/2020,6:00 PM,Karnataka,6,0,6,568,0,1,5,534
134,13/03/2020,6:00 PM,Maharashtra,14,0,14,582,0,0,14,548
135,13/03/2020,6:00 PM,Andhra Pradesh,1,0,1,583,0,0,1,549
136,14/03/2020,6:00 PM,Delhi,7,0,7,590,1,1,5,554
137,14/03/2020,6:00 PM,Haryana,0,14,14,604,0,0,14,568
138,14/03/2020,6:00 PM,Kerala,19,0,19,623,3,0,16,584
139,14/03/2020,6:00 PM,Rajasthan,1,2,3,626,1,0,2,586
140,14/03/2020,6:00 PM,Telengana,1,0,1,627,0,0,1,587
141,14/03/2020,6:00 PM,Uttar Pradesh,11,1,12,639,5,0,7,594
142,14/03/2020,6:00 PM,Ladakh,3,0,3,642,0,0,3,597
143,14/03/2020,6:00 PM,Tamil Nadu,1,0,1,643,0,0,1,598
144,14/03/2020,6:00 PM,Jammu and Kashmir,2,0,2,645,0,0,2,600
145,14/03/2020,6:00 PM,Punjab,1,0,1,646,0,0,1,601
146,14/03/2020,6:00 PM,Karnataka,6,0,6,652,0,1,5,606
147,14/03/2020,6:00 PM,Maharashtra,14,0,14,666,0,0,14,620
148,14/03/2020,6:00 PM,Andhra Pradesh,1,0,1,667,0,0,1,621
149,15/03/2020,6:00 PM,Andhra Pradesh,1,0,1,668,0,0,1,622
150,15/03/2020,6:00 PM,Delhi,7,0,7,675,2,1,4,626
151,15/03/2020,6:00 PM,Haryana,0,14,14,689,0,0,14,640
152,15/03/2020,6:00 PM,Karnataka,6,0,6,695,0,1,5,645
153,15/03/2020,6:00 PM,Kerala,22,0,22,717,3,0,19,664
154,15/03/2020,6:00 PM,Maharashtra,32,0,32,749,0,0,32,696
155,15/03/2020,6:00 PM,Punjab,1,0,1,750,0,0,1,697
156,15/03/2020,6:00 PM,Rajasthan,2,2,4,754,3,0,1,698
157,15/03/2020,6:00 PM,Tamil Nadu,1,0,1,755,0,0,1,699
158,15/03/2020,6:00 PM,Telengana,3,0,3,758,1,0,2,701
159,15/03/2020,6:00 PM,Jammu and Kashmir,2,0,2,760,0,0,2,703
160,15/03/2020,6:00 PM,Ladakh,3,0,3,763,0,0,3,706
161,15/03/2020,6:00 PM,Uttar Pradesh,12,1,13,776,4,0,9,715
162,15/03/2020,6:00 PM,Uttarakhand,1,0,1,777,0,0,1,716
163,16/03/2020,6:00 PM,Andhra Pradesh,1,0,1,778,0,0,1,717
164,16/03/2020,6:00 PM,Delhi,7,0,7,785,2,1,4,721
165,16/03/2020,6:00 PM,Haryana,0,14,14,799,0,0,14,735
166,16/03/2020,6:00 PM,Karnataka,6,0,6,805,0,1,5,740
167,16/03/2020,6:00 PM,Kerala,23,0,23,828,3,0,20,760
168,16/03/2020,6:00 PM,Maharashtra,32,0,32,860,0,0,32,792
169,16/03/2020,6:00 PM,Odisha,1,0,1,861,0,0,1,793
170,16/03/2020,6:00 PM,Punjab,1,0,1,862,0,0,1,794
171,16/03/2020,6:00 PM,Rajasthan,2,2,4,866,3,0,1,795
172,16/03/2020,6:00 PM,Tamil Nadu,1,0,1,867,0,0,1,796
173,16/03/2020,6:00 PM,Telengana,3,0,3,870,1,0,2,798
174,16/03/2020,6:00 PM,Jammu and Kashmir,3,0,3,873,0,0,3,801
175,16/03/2020,6:00 PM,Ladakh,4,0,4,877,0,0,4,805
176,16/03/2020,6:00 PM,Uttar Pradesh,12,1,13,890,4,0,9,814
177,16/03/2020,6:00 PM,Uttarakhand,1,0,1,891,0,0,1,815
178,17/03/2020,6:00 PM,Andhra Pradesh,1,0,1,892,0,0,1,816
179,17/03/2020,6:00 PM,Delhi,8,0,8,900,2,1,5,821
180,17/03/2020,6:00 PM,Haryana,1,14,15,915,0,0,15,836
181,17/03/2020,6:00 PM,Karnataka,11,0,11,926,0,1,10,846
182,17/03/2020,6:00 PM,Kerala,24,2,26,952,3,0,23,869
183,17/03/2020,6:00 PM,Maharashtra,36,3,39,991,0,1,38,907
184,17/03/2020,6:00 PM,Odisha,1,0,1,992,0,0,1,908
185,17/03/2020,6:00 PM,Punjab,1,0,1,993,0,0,1,909
186,17/03/2020,6:00 PM,Rajasthan,2,2,4,997,3,0,1,910
187,17/03/2020,6:00 PM,Tamil Nadu,1,0,1,998,0,0,1,911
188,17/03/2020,6:00 PM,Telengana,3,2,5,1003,1,0,4,915
189,17/03/2020,6:00 PM,Jammu and Kashmir,3,0,3,1006,0,0,3,918
190,17/03/2020,6:00 PM,Ladakh,6,0,6,1012,0,0,6,924
191,17/03/2020,6:00 PM,Uttar Pradesh,14,1,15,1027,5,0,10,934
192,17/03/2020,6:00 PM,Uttarakhand,1,0,1,1028,0,0,1,935
193,18/03/2020,6:00 PM,Andhra Pradesh,1,0,1,1029,0,0,1,936
194,18/03/2020,6:00 PM,Delhi,9,1,10,1039,2,1,7,943
195,18/03/2020,6:00 PM,Haryana,3,14,17,1056,0,0,17,960
196,18/03/2020,6:00 PM,Karnataka,11,0,11,1067,0,1,10,970
197,18/03/2020,6:00 PM,Kerala,25,2,27,1094,3,0,24,994
198,18/03/2020,6:00 PM,Maharashtra,39,3,42,1136,0,1,41,1035
199,18/03/2020,6:00 PM,Odisha,1,0,1,1137,0,0,1,1036
200,18/03/2020,6:00 PM,Puducherry,1,0,1,1138,0,0,1,1037
201,18/03/2020,6:00 PM,Punjab,1,0,1,1139,0,0,1,1038
202,18/03/2020,6:00 PM,Rajasthan,2,2,4,1143,3,0,1,1039
203,18/03/2020,6:00 PM,Tamil Nadu,1,0,1,1144,0,0,1,1040
204,18/03/2020,6:00 PM,Telengana,4,2,6,1150,1,0,5,1045
205,18/03/2020,6:00 PM,Jammu and Kashmir,3,0,3,1153,0,0,3,1048
206,18/03/2020,6:00 PM,Ladakh,8,0,8,1161,0,0,8,1056
207,18/03/2020,6:00 PM,Uttar Pradesh,15,1,16,1177,5,0,11,1067
208,18/03/2020,6:00 PM,Uttarakhand,1,0,1,1178,0,0,1,1068
209,18/03/2020,6:00 PM,West Bengal,1,0,1,1179,0,0,1,1069
210,19/03/2020,6:00 PM,Andhra Pradesh,2,0,2,1181,0,0,2,1071
211,19/03/2020,6:00 PM,Chhattisgarh,1,0,1,1182,0,0,1,1072
212,19/03/2020,6:00 PM,Delhi,11,1,12,1194,3,1,8,1080
213,19/03/2020,6:00 PM,Haryana,3,14,17,1211,0,0,17,1097
214,19/03/2020,6:00 PM,Karnataka,14,0,14,1225,0,1,13,1110
215,19/03/2020,6:00 PM,Kerala,25,2,27,1252,3,0,24,1134
216,19/03/2020,6:00 PM,Maharashtra,44,3,47,1299,0,1,46,1180
217,19/03/2020,6:00 PM,Odisha,1,0,1,1300,0,0,1,1181
218,19/03/2020,6:00 PM,Puducherry,1,0,1,1301,0,0,1,1182
219,19/03/2020,6:00 PM,Punjab,2,0,2,1303,0,1,1,1183
220,19/03/2020,6:00 PM,Rajasthan,5,2,7,1310,3,0,4,1187
221,19/03/2020,6:00 PM,Tamil Nadu,2,0,2,1312,1,0,1,1188
222,19/03/2020,6:00 PM,Telengana,4,2,6,1318,1,0,5,1193
223,19/03/2020,6:00 PM,Chandigarh,1,0,1,1319,0,0,1,1194
224,19/03/2020,6:00 PM,Jammu and Kashmir,4,0,4,1323,0,0,4,1198
225,19/03/2020,6:00 PM,Ladakh,8,0,8,1331,0,0,8,1206
226,19/03/2020,6:00 PM,Uttar Pradesh,18,1,19,1350,9,0,10,1216
227,19/03/2020,6:00 PM,Uttarakhand,1,0,1,1351,0,0,1,1217
228,19/03/2020,6:00 PM,West Bengal,1,0,1,1352,0,0,1,1218
229,20/03/2020,6:00 PM,Andhra Pradesh,3,0,3,1355,0,0,3,1221
230,20/03/2020,6:00 PM,Chhattisgarh,1,0,1,1356,0,0,1,1222
231,20/03/2020,6:00 PM,Delhi,16,1,17,1373,5,1,11,1233
232,20/03/2020,6:00 PM,Gujarat,5,0,5,1378,0,0,5,1238
233,20/03/2020,6:00 PM,Haryana,3,14,17,1395,0,0,17,1255
234,20/03/2020,6:00 PM,Karnataka,15,0,15,1410,1,1,13,1268
235,20/03/2020,6:00 PM,Kerala,26,2,28,1438,3,0,25,1293
236,20/03/2020,6:00 PM,Maharashtra,49,3,52,1490,0,1,51,1344
237,20/03/2020,6:00 PM,Odisha,2,0,2,1492,0,0,2,1346
238,20/03/2020,6:00 PM,Puducherry,1,0,1,1493,0,0,1,1347
239,20/03/2020,6:00 PM,Punjab,2,0,2,1495,0,1,1,1348
240,20/03/2020,6:00 PM,Rajasthan,15,2,17,1512,3,0,14,1362
241,20/03/2020,6:00 PM,Tamil Nadu,3,0,3,1515,1,0,2,1364
242,20/03/2020,6:00 PM,Telengana,8,9,17,1532,1,0,16,1380
243,20/03/2020,6:00 PM,Chandigarh,1,0,1,1533,0,0,1,1381
244,20/03/2020,6:00 PM,Jammu and Kashmir,4,0,4,1537,0,0,4,1385
245,20/03/2020,6:00 PM,Ladakh,10,0,10,1547,0,0,10,1395
246,20/03/2020,6:00 PM,Uttar Pradesh,22,1,23,1570,9,0,14,1409
247,20/03/2020,6:00 PM,Uttarakhand,3,0,3,1573,0,0,3,1412
248,20/03/2020,6:00 PM,West Bengal,2,0,2,1575,0,0,2,1414
249,21/03/2020,6:00 PM,Andhra Pradesh,3,0,3,1578,0,0,3,1417
250,21/03/2020,6:00 PM,Chhattisgarh,1,0,1,1579,0,0,1,1418
251,21/03/2020,6:00 PM,Delhi,25,1,26,1605,5,1,20,1438
252,21/03/2020,6:00 PM,Gujarat,7,0,7,1612,0,0,7,1445
253,21/03/2020,6:00 PM,Haryana,3,14,17,1629,0,0,17,1462
254,21/03/2020,6:00 PM,Himachal Pradesh,2,0,2,1631,0,0,2,1464
255,21/03/2020,6:00 PM,Karnataka,15,0,15,1646,1,1,13,1477
256,21/03/2020,6:00 PM,Kerala,33,7,40,1686,3,0,37,1514
257,21/03/2020,6:00 PM,Madhya Pradesh,4,0,4,1690,0,0,4,1518
258,21/03/2020,6:00 PM,Maharashtra,60,3,63,1753,0,1,62,1580
259,21/03/2020,6:00 PM,Odisha,2,0,2,1755,0,0,2,1582
260,21/03/2020,6:00 PM,Puducherry,1,0,1,1756,0,0,1,1583
261,21/03/2020,6:00 PM,Punjab,13,0,13,1769,0,1,12,1595
262,21/03/2020,6:00 PM,Rajasthan,15,2,17,1786,3,0,14,1609
263,21/03/2020,6:00 PM,Tamil Nadu,3,0,3,1789,1,0,2,1611
264,21/03/2020,6:00 PM,Telengana,10,11,21,1810,1,0,20,1631
265,21/03/2020,6:00 PM,Chandigarh,1,0,1,1811,0,0,1,1632
266,21/03/2020,6:00 PM,Jammu and Kashmir,4,0,4,1815,0,0,4,1636
267,21/03/2020,6:00 PM,Ladakh,13,0,13,1828,0,0,13,1649
268,21/03/2020,6:00 PM,Uttar Pradesh,23,1,24,1852,9,0,15,1664
269,21/03/2020,6:00 PM,Uttarakhand,3,0,3,1855,0,0,3,1667
270,21/03/2020,6:00 PM,West Bengal,3,0,3,1858,0,0,3,1670
271,22/03/2020,6:00 PM,Andhra Pradesh,5,0,5,1863,0,0,5,1675
272,22/03/2020,6:00 PM,Bihar,2,0,2,1865,0,1,1,1676
273,22/03/2020,6:00 PM,Chhattisgarh,1,0,1,1866,0,0,1,1677
274,22/03/2020,6:00 PM,Delhi,28,1,29,1895,5,1,23,1700
275,22/03/2020,6:00 PM,Gujarat,18,0,18,1913,0,1,17,1717
276,22/03/2020,6:00 PM,Haryana,7,14,21,1934,0,0,21,1738
277,22/03/2020,6:00 PM,Himachal Pradesh,2,0,2,1936,0,0,2,1740
278,22/03/2020,6:00 PM,Karnataka,26,0,26,1962,2,1,23,1763
279,22/03/2020,6:00 PM,Kerala,45,7,52,2014,3,0,49,1812
280,22/03/2020,6:00 PM,Madhya Pradesh,4,0,4,2018,0,0,4,1816
281,22/03/2020,6:00 PM,Maharashtra,64,3,67,2085,0,2,65,1881
282,22/03/2020,6:00 PM,Odisha,2,0,2,2087,0,0,2,1883
283,22/03/2020,6:00 PM,Puducherry,1,0,1,2088,0,0,1,1884
284,22/03/2020,6:00 PM,Punjab,21,0,21,2109,0,1,20,1904
285,22/03/2020,6:00 PM,Rajasthan,22,2,24,2133,3,0,21,1925
286,22/03/2020,6:00 PM,Tamil Nadu,5,2,7,2140,1,0,6,1931
287,22/03/2020,6:00 PM,Telengana,11,11,22,2162,1,0,21,1952
288,22/03/2020,6:00 PM,Chandigarh,5,0,5,2167,0,0,5,1957
289,22/03/2020,6:00 PM,Jammu and Kashmir,4,0,4,2171,0,0,4,1961
290,22/03/2020,6:00 PM,Ladakh,13,0,13,2184,0,0,13,1974
291,22/03/2020,6:00 PM,Uttar Pradesh,26,1,27,2211,9,0,18,1992
292,22/03/2020,6:00 PM,Uttarakhand,3,0,3,2214,0,0,3,1995
293,22/03/2020,6:00 PM,West Bengal,4,0,4,2218,0,0,4,1999
294,23/03/2020,6:00 PM,Andhra Pradesh,7,0,7,2225,0,0,7,2006
295,23/03/2020,6:00 PM,Bihar,2,0,2,2227,0,1,1,2007
296,23/03/2020,6:00 PM,Chhattisgarh,1,0,1,2228,0,0,1,2008
297,23/03/2020,6:00 PM,Delhi,28,1,29,2257,5,1,23,2031
298,23/03/2020,6:00 PM,Gujarat,29,0,29,2286,0,1,28,2059
299,23/03/2020,6:00 PM,Haryana,12,14,26,2312,0,0,26,2085
300,23/03/2020,6:00 PM,Himachal Pradesh,2,0,2,2314,0,0,2,2087
301,23/03/2020,6:00 PM,Karnataka,33,0,33,2347,2,1,30,2117
302,23/03/2020,6:00 PM,Kerala,60,7,67,2414,3,0,64,2181
303,23/03/2020,6:00 PM,Madhya Pradesh,6,0,6,2420,0,0,6,2187
304,23/03/2020,6:00 PM,Maharashtra,71,3,74,2494,0,2,72,2259
305,23/03/2020,6:00 PM,Odisha,2,0,2,2496,0,0,2,2261
306,23/03/2020,6:00 PM,Puducherry,1,0,1,2497,0,0,1,2262
307,23/03/2020,6:00 PM,Punjab,21,0,21,2518,0,1,20,2282
308,23/03/2020,6:00 PM,Rajasthan,26,2,28,2546,3,0,25,2307
309,23/03/2020,6:00 PM,Tamil Nadu,7,2,9,2555,1,0,8,2315
310,23/03/2020,6:00 PM,Telengana,22,10,32,2587,1,0,31,2346
311,23/03/2020,6:00 PM,Chandigarh,6,0,6,2593,0,0,6,2352
312,23/03/2020,6:00 PM,Jammu and Kashmir,4,0,4,2597,0,0,4,2356
313,23/03/2020,6:00 PM,Ladakh,13,0,13,2610,0,0,13,2369
314,23/03/2020,6:00 PM,Uttar Pradesh,30,1,31,2641,9,0,22,2391
315,23/03/2020,6:00 PM,Uttarakhand,3,0,3,2644,0,0,3,2394
316,23/03/2020,6:00 PM,West Bengal,7,0,7,2651,0,0,7,2401
317,24/03/2020,6:00 PM,Andhra Pradesh,8,0,8,2659,0,0,8,2409
318,24/03/2020,6:00 PM,Bihar,3,0,3,2662,0,1,2,2411
319,24/03/2020,6:00 PM,Chhattisgarh,1,0,1,2663,0,0,1,2412
320,24/03/2020,6:00 PM,Delhi,29,1,30,2693,6,1,23,2435
321,24/03/2020,6:00 PM,Gujarat,32,1,33,2726,0,1,32,2467
322,24/03/2020,6:00 PM,Haryana,14,14,28,2754,11,0,17,2484
323,24/03/2020,6:00 PM,Himachal Pradesh,3,0,3,2757,0,1,2,2486
324,24/03/2020,6:00 PM,Karnataka,37,0,37,2794,3,1,33,2519
325,24/03/2020,6:00 PM,Kerala,87,8,95,2889,4,0,91,2610
326,24/03/2020,6:00 PM,Madhya Pradesh,7,0,7,2896,0,0,7,2617
327,24/03/2020,6:00 PM,Maharashtra,86,3,89,2985,0,2,87,2704
328,24/03/2020,6:00 PM,Manipur,1,0,1,2986,0,0,1,2705
329,24/03/2020,6:00 PM,Odisha,2,0,2,2988,0,0,2,2707
330,24/03/2020,6:00 PM,Puducherry,1,0,1,2989,0,0,1,2708
331,24/03/2020,6:00 PM,Punjab,29,0,29,3018,0,1,28,2736
332,24/03/2020,6:00 PM,Rajasthan,30,2,32,3050,3,0,29,2765
333,24/03/2020,6:00 PM,Tamil Nadu,13,2,15,3065,1,0,14,2779
334,24/03/2020,6:00 PM,Telengana,25,10,35,3100,1,0,34,2813
335,24/03/2020,6:00 PM,Chandigarh,7,0,7,3107,0,0,7,2820
336,24/03/2020,6:00 PM,Jammu and Kashmir,4,0,4,3111,0,0,4,2824
337,24/03/2020,6:00 PM,Ladakh,13,0,13,3124,0,0,13,2837
338,24/03/2020,6:00 PM,Uttar Pradesh,32,1,33,3157,11,0,22,2859
339,24/03/2020,6:00 PM,Uttarakhand,3,1,4,3161,0,0,4,2863
340,24/03/2020,6:00 PM,West Bengal,9,0,9,3170,0,1,8,2871
341,25/03/2020,6:00 PM,Andhra Pradesh,9,0,9,3179,1,0,8,2879
342,25/03/2020,6:00 PM,Bihar,4,0,4,3183,0,1,3,2882
343,25/03/2020,6:00 PM,Chhattisgarh,1,0,1,3184,0,0,1,2883
344,25/03/2020,6:00 PM,Delhi,30,1,31,3215,6,1,24,2907
345,25/03/2020,6:00 PM,Gujarat,37,1,38,3253,0,1,37,2944
346,25/03/2020,6:00 PM,Haryana,14,14,28,3281,11,0,17,2961
347,25/03/2020,6:00 PM,Himachal Pradesh,3,0,3,3284,0,1,2,2963
348,25/03/2020,6:00 PM,Karnataka,41,0,41,3325,3,1,37,3000
349,25/03/2020,6:00 PM,Kerala,101,8,109,3434,4,0,105,3105
